# E0 = 9.610000000000001
time,n_1,n_2,n_3,n_4,n_5,n_6,n_7,n_8,n_9,n_10
5.650000,5.2271622060e-01,5.6260741651e-01,4.9457091698e-01,5.9307106129e-01,5.2568149024e-01,4.7480020762e-01,4.0705541461e-01,5.0507590338e-01,4.3731325299e-01,4.7710811577e-01
5.700000,5.1991425568e-01,5.6479149143e-01,4.8915233964e-01,5.9089228502e-01,5.3024927980e-01,4.7024664957e-01,4.0927439280e-01,5.1049677405e-01,4.3504927765e-01,4.7993325435e-01
5.750000,5.1725810359e-01,5.6744229257e-01,4.8438775887e-01,5.8815031498e-01,5.3298317704e-01,4.6751886643e-01,4.1204751318e-01,5.1528228948e-01,4.3231840477e-01,4.8261127910e-01
5.800000,5.1478210518e-01,5.7045975822e-01,4.8031021784e-01,5.8506083424e-01,5.3355271196e-01,4.6694774184e-01,4.1515555362e-01,5.1940004192e-01,4.2922443737e-01,4.8510659779e-01
5.850000,5.1250868357e-01,5.7372230756e-01,4.7692459993e-01,5.8190505054e-01,5.3171361823e-01,4.6877832963e-01,4.1831459101e-01,5.2284440096e-01,4.2589270232e-01,4.8739571625e-01
5.900000,5.1044630697e-01,5.7708416284e-01,4.7422258814e-01,5.7900699541e-01,5.2734686211e-01,4.7313079382e-01,4.2119905682e-01,5.2562135593e-01,4.2247253112e-01,4.8946934683e-01
5.950000,5.0858919190e-01,5.8037663908e-01,4.7219689712e-01,5.7669988028e-01,5.2048908505e-01,4.7996987772e-01,4.2347560899e-01,5.2773428134e-01,4.1913578413e-01,4.9133275440e-01
6.000000,5.0691861524e-01,5.8341419292e-01,4.7085247755e-01,5.7528546287e-01,5.1134730095e-01,4.8909005717e-01,4.2484382797e-01,5.2917296330e-01,4.1607063343e-01,4.9300446860e-01
6.050000,5.0540538788e-01,5.8600506475e-01,4.7021315149e-01,5.7499251077e-01,5.0029387830e-01,5.0012035988e-01,4.2507764197e-01,5.2990742129e-01,4.1347077355e-01,4.9451381012e-01
6.100000,5.0401286663e-01,5.8796541593e-01,4.7032304235e-01,5.7594139129e-01,4.8784176613e-01,5.1254891914e-01,4.2406047268e-01,5.2988710824e-01,4.1152116039e-01,4.9589785722e-01
6.150000,5.0269988990e-01,5.8913513391e-01,4.7124298148e-01,5.7812129224e-01,4.7460362567e-01,5.2576364111e-01,4.2180763862e-01,5.2904521657e-01,4.1038210886e-01,4.9719847164e-01
6.200000,5.0142320528e-01,5.8939307342e-01,4.7304267405e-01,5.8138464602e-01,4.6124118182e-01,5.3910271790e-01,4.1847149591e-01,5.2730719621e-01,4.1017398869e-01,4.9845982069e-01
6.250000,5.0013924788e-01,5.8866947461e-01,4.7578979265e-01,5.8546035223e-01,4.4841220049e-01,5.5190762211e-01,4.1432777351e-01,5.2460220578e-01,4.1096478950e-01,4.9972654122e-01
6.300000,4.9880542716e-01,5.8695364886e-01,4.7953742135e-01,5.8998396330e-01,4.3672193053e-01,5.6357176777e-01,4.0974498481e-01,5.2087598426e-01,4.1276248093e-01,5.0104239103e-01
6.350000,4.9738128694e-01,5.8429569678e-01,4.8431146690e-01,5.9453982714e-01,4.2668395992e-01,5.7357988538e-01,4.0514195810e-01,5.1610347524e-01,4.1551341822e-01,5.0244902537e-01
6.400000,4.9582995148e-01,5.8080192708e-01,4.9009976151e-01,5.9870798145e-01,4.1869289112e-01,5.8153567255e-01,4.0094071886e-01,5.1029947488e-01,4.1910713346e-01,5.0398448761e-01
